"Madhya Pradesh Private University Regulatory Commission, Bhopal",,,,,,,,
University Name: People's University ,,Information regarding courses conducted by the private university in session 2024-25,,,,,,
S.No.,"Name of the conducted course (B.Sc., B.A., M.Sc., etc.)",Course level (UG/PG/Diploma/Ph.D./Other),Course type (Semester Wise/ Yearly),"Faculty (Art/Science/Commerce, etc.)",Year of commencement of the course (2010-11 …etc),Total number of approved seats for admission in first year,Number of students admitted in the first year in session 2024-2025,Total number of students studying in the university (All Sem/Year)
49,B.Sc. Nursing,UG (4 Years),Yearly,Medical,2010-11,100,46,246
50,M. Sc. Nursing,PG (2 Years),Yearly,Medical,2015-16,25,0,0
51,Post Basic B.Sc. Nursing,UG (2 Years),Yearly,Medical,2015-16,30,3,3
52,Bachelor of Physiotherapy,UG (4 Years),Yearly,Medical,2010-11,50,0,0
53,Bachelor of Science in Medical Laboratory Technology,UG (3 Years),Yearly,Medical,2010-11,50,0,0
54,Master of Physiotherapy,PG (2 Years),Yearly,Medical,2015-16,20,0,0
55,Diploma in Dialysis Technician,Diploma (2 Years),Yearly,Medical,2015-16,50,0,0
56,Diploma in Medical Lab. Technology,Diploma (2 Years),Yearly,Medical,2015-16,50,0,0
57,Diploma in Anaesthesia Technician,Diploma (2 Years),Yearly,Medical,2015-16,50,0,0
58,Bachelor of Pharmacy,UG (4 Years),semesterwise ,Medical,2010-11,100,100,341
59,Bachelor of Pharmacy (Lateral),UG (3 Years),semesterwise ,Medical,2015-16,0,2,4
60,Master of Pharmacy,PG (2 Years),semesterwise ,Medical,2015-16,15,15,30
61,Diploma in Pharmacy,Diploma (2 Years),semesterwise ,Medical,2015-16,60,58,86
62,Bachelor of Technology (1st Year),UG (4 Years),semesterwise ,Engineering,2010-11,420,157,441
63,Bachelor of Technology (Lateral Entry),UG (3 Years),semesterwise ,Engineering,2015-16,,45,373
64,Diploma in Engineering (1st Year),Diploma (3 Years),semesterwise ,Engineering,2010-11,300,82,269
65,Diploma in Engineering (Lateral Entry),Diploma (2 Years),semesterwise ,Engineering,2015-16,,53,180
66,Master of Technology,PG (2 Years),semesterwise ,Engineering,2015-16,108,21,56
67,BBA,UG (3 Years),semesterwise ,Commerce,2010-11,60,44,142
68,MBA,PG (2 Years),semesterwise ,Commerce,2015-16,120,36,60
69,MBA (HA),PG (2 Years),semesterwise ,Commerce,2015-16,30,24,52
70,B.Com.,UG (3 Years),semesterwise ,Commerce,2010-11,30,23,50
71,M.Com.,PG (2 Years),semesterwise ,Commerce,2015-16,18,1,2
72,BHMCT,UG (4 Years),semesterwise ,Hospitality,2010-11,60,11,35
73,BBA (HHA),UG (3 Years),semesterwise ,Hospitality,2015-16,60,16,45
74,PG Diploma in Hotel Management & CT,PG Diploma (1 Year),semesterwise ,Hospitality,2015-16,30,4,4
75,UG Diploma in Hotel Management & CT,UG Diploma (1 Year),semesterwise ,Hospitality,2015-16,30,0,0
76,Bachelor of Arts,UG (3 Years),semesterwise ,Arts,2010-11,30,12,16
77,B.Sc. Biotechnology,UG (3 Years),semesterwise ,Science,2010-11,30,11,33
78,M.Sc. Biotechnology,PG (2 Years),semesterwise ,Science,2015-16,10,2,4
79,M.Sc. Microbiology,PG (2 Years),semesterwise ,Science,2015-16,10,2,6
80,LLM (1 Year),PG (1 Year),semesterwise ,Law,2015-16,40,26,33
81,MA,PG (2 Years),semesterwise ,Arts,2015-16,18,5,5
82,LLM (2 Years),PG (2 Years),semesterwise ,Law,2015-16,40,0,0
83,"BA, LL.B",UG (5 Years),semesterwise ,Law,2010-11,60,9,9
84,LL.B,UG (3 Years),semesterwise ,Law,2010-11,60,4,4
85,MSW,PG (2 Years),semesterwise ,Social Work,2015-16,18,1,1
86,Ph.D.,Ph.D.,semesterwise ,Science/Arts/Commerce ( as per faculty),2015-16,Supervisor 23 × 8 research scholar = 184,24,123
