Updated course-wise information of admission in the first year for the session 2025-26 in private universities,,,,,,
Name of the university,Name of the Constituent Unit,S.No.,Name of the course,Total sanctioned seat capacity in the first year,Total number of students admitted until date 06/08/25,Number of vacant seats
,,68,MD(Doctor of Medicine) ANAESTHESIOLOGY,8,0,8
,,69,MD(Doctor of Medicine) Community Medicine,4,0,4
,,70,MD(Doctor of Medicine) Dermatology,5,0,5
,,71,MD(Doctor of Medicine) General Medicine,8,0,8
,,72,MD(Doctor of Medicine) Pathology,11,0,11
,,73,MD(Doctor of Medicine) Pediatrics,4,0,4
,,74,MD(Doctor of Medicine) Pharmacology,2,0,2
,,75,MD(Doctor of Medicine) Psychiatry,3,0,3
,,76,MD(Doctor of Medicine) Radio diagnosis,4,0,4
,,77,MD(Doctor of Medicine) Respiratory Medicine,4,0,4
,Dental PDA,78,BDS(Bachelor of Dental Surgery) Dental,100,0,100
,,79,MDS(Master of Dental Surgery) CONSERVTIVE DENTISTRY & ENDODONTICS,5,0,5
,,80,MDS(Master of Dental Surgery) ORAL & MAXILLOFACIAL SURGERY,5,0,5
,,81,MDS(Master of Dental Surgery) ORAL MEDICINE & RADIOLOGY,3,0,3
,,82,MDS(Master of Dental Surgery) ORTHOFONTICS & DENTO OF ACIAL ORTHOPEDICS,5,0,5
,,83,MDS(Master of Dental Surgery) PAEDODONTICS & PREVENTIVE DENTISTRY,3,0,3
,,84,MDS(Master of Dental Surgery) PERIODONTOLOGY,3,0,3
,,85,MDS(Master of Dental Surgery) PROSTHODONTICS & CROWN BRIDGE,5,0,5
,,86,MDS(Master of Dental Surgery) PUBLIC HEALTH DENTISTRY,3,0,3
,Paramedical PCPS,87,BACHELOR MEDICAL LAB.,"Currently, permission for paramedical counseling for the 2025-26 session has not been received.",,
,,88,TECHNICIAN Medical,,,
,,89,Diploma in DIALYSIS TECHNICIAN,,,
,,90,Plain,,,
,,91,Diploma in MEDICAL LAB. TECHNICIAN Medical,,,
,,92,M.P.T. (NEUROLOGY) Plain,,,
,,93,B.P.T. (Bachelor of Physiotherapy) Plain,,,
,,94,M.P.T. (ORTHOPAEDIC) Plain,,,
,Nursing PCN&RC,95,B.Sc. Nursing,NMC counseling process has not started yet.,,
,,96,Post Basic B.Sc. Nursing,,,
,,97,M.Sc. Nursing,,,
,,98,GNM,,,
Total ,,,,2514,536,1978
